Metacritic_score,Normalized_playtime,Positive_review_threshold
0.77,0.617,1
0.64,0.619,1
0.72,0.289,1
0.82,0.542,1
0.76,0.345,0
0.8,0.422,1
0.59,0.357,0
0.8,0.215,1
0.65,0.108,1
0.52,0.45,0
0.74,0.291,0
0.68,0.558,1
0.69,0.146,0
0.81,0.833,1
0.82,0.353,1
0.69,0.389,1
0.91,0.483,1
0.75,0.381,1
0.69,0.073,1
0.65,0.175,1
0.76,0.396,1
0.8,0.323,1
0.75,0.567,0
0.65,0.363,1
0.87,0.639,1
0.7,0.215,0
0.78,0.627,1
0.79,0.593,1
0.65,0.479,0
0.83,0.557,1
0.7,0.615,0
0.69,0.33,1
0.74,0.702,0
0.5,0.346,0
0.45,0.336,1
0.74,0.583,1
0.61,0.203,0
0.67,0.055,0
0.66,0.453,0
0.74,0.492,1
0.68,0.476,1
0.72,0.485,1
0.76,0.452,1
0.67,0.423,1
0.74,0.437,1
0.79,0.458,1
0.78,0.175,1
0.68,0.247,1
0.79,0.452,1
0.68,0.487,0
0.72,0.53,1
0.8,0.641,1
0.79,0.327,1
0.85,0.15,1
0.84,0.576,1
0.84,0.466,1
0.74,0.284,1
0.71,0.485,1
0.94,0.781,1
0.77,0.355,1
0.81,0.429,0
0.73,0.617,1
0.77,0.555,0
0.83,0.404,1
0.61,0.315,1
0.81,0.546,1
0.62,0.471,0
0.92,0.414,1
0.71,0.41,1
0.62,0.42,1
0.64,0.416,1
0.74,0.193,1
0.8,0.766,1
0.75,0.412,1
0.81,0.57,0
0.8,0.491,1
0.73,0.348,1
0.73,0.512,0
0.79,0.62,0
0.49,0.488,0
0.81,0.406,1
0.66,0.392,1
0.39,0.659,0
0.73,0.523,0
0.62,0.305,0
0.79,0.421,1
0.69,0.361,1
0.76,0.461,0
0.75,0.467,1
0.66,0.68,1
0.77,0.545,0
0.79,0.379,1
0.73,0.46,1
0.64,0.415,1
0.65,0.405,0
0.66,0.565,1
0.75,0.356,1
0.77,0.395,1
0.71,0.374,1
0.83,0.472,1
0.77,0.48,1
0.65,0.537,1
0.76,0.26,1
0.85,0.544,1
0.65,0.57,1
0.86,0.795,1
0.84,0.424,1
0.74,0.507,1
0.66,0.543,1
0.88,0.474,1
0.75,0.387,1
0.83,0.183,1
0.6,0.389,1
0.8,0.3,1
0.9,0.737,1
0.8,0.502,0
0.69,0.654,1
0.77,0.476,1
0.67,0.557,0
0.84,0.429,1
0.56,0.483,0
0.72,0.34,1
0.87,0.305,1
0.62,0.209,0
0.87,0.656,1
0.76,0.415,1
0.75,0.371,1
0.85,0.581,1
0.87,0.571,1
0.85,0.423,1
0.84,0.627,1
0.81,0.443,1
0.87,0.441,1
0.85,0.406,1
0.7,0.399,1
0.66,0.36,0
0.58,0.648,1
0.72,0.466,1
0.65,0.254,0
0.79,0.456,1
0.59,0.266,1
0.87,0.428,1
0.73,0.055,0
0.8,0.431,1
0.79,0.44,1
0.59,0.487,0
0.68,0.435,1
0.38,0.095,0
0.68,0.447,1
0.78,0.693,1
0.68,0.538,1
0.85,0.508,1
0.72,0.581,1
0.84,0.487,1
0.78,0.59,1
0.49,0.183,0
0.77,0.535,1
0.9,0.506,1
