Metacritic_score,Normalized_playtime,Positive_review_threshold
0.82,0.385,1
0.71,0.114,0
0.61,0.827,1
0.76,0.673,1
0.73,0.155,0
0.8,0.602,1
0.86,0.594,1
0.71,0.193,1
0.8,0.526,1
0.81,0.595,1
0.58,0.426,0
0.74,0.013,1
0.81,0.268,1
0.71,0.431,1
0.73,0.409,1
0.79,0.544,1
0.69,0.561,1
0.61,0.363,1
0.77,0.4,1
0.7,0.238,0
0.59,0.401,1
0.96,0.881,1
0.76,0.734,1
0.54,0.136,1
0.83,0.548,1
0.66,0.426,0
0.62,0.212,1
0.8,0.369,1
0.89,0.272,1
0.79,0.212,1
0.65,0.526,1
0.84,0.537,1
0.72,0.547,1
0.82,0.437,1
0.73,0.559,0
0.78,0.589,1
0.76,0.391,1
0.68,0.125,0
0.86,0.414,1
0.68,0.426,1
0.89,0.644,1
0.88,0.319,1
0.85,0.325,1
0.81,0.44,1
0.72,0.422,1
0.75,0.473,0
0.72,0.159,0
0.81,0.483,1
0.73,0.368,0
0.75,0.454,1
0.79,0.475,1
0.77,0.373,1
0.55,0.025,0
0.78,0.536,1
0.86,0.488,1
0.68,0.635,1
0.75,0.58,1
0.66,0.412,1
0.76,0.475,1
0.66,0.407,0
0.51,0.428,0
0.73,0.353,1
0.66,0.389,1
0.37,0.424,0
0.55,0.332,1
0.82,0.572,1
0.76,0.537,1
0.86,0.338,1
0.67,0.125,1
0.73,0.659,1
0.69,0.343,0
0.82,0.171,1
0.57,0.193,0
0.77,0.399,1
0.91,0.469,1
0.79,0.417,0
0.66,0.343,0
0.7,0.466,1
0.77,0.551,1
0.63,0.328,1
0.73,0.423,1
0.7,0.586,1
0.79,0.33,1
0.71,0.513,1
0.7,0.196,1
0.54,0.268,0
0.71,0.461,1
0.78,0.463,1
0.74,0.206,1
0.8,0.587,1
0.87,0.476,1
0.8,0.362,1
0.72,0.206,0
0.68,0.493,1
0.77,0.463,1
0.74,0.335,1
0.77,0.479,1
0.76,0.526,1
0.72,0.332,1
0.49,0.036,0
0.64,0.409,1
0.72,0.595,1
0.75,0.415,1
0.59,0.428,0
0.63,0.424,1
0.54,0.375,1
0.74,0.338,1
0.64,0.433,1
0.71,0.817,1
0.77,0.563,1
0.75,0.509,0
0.74,0.445,0
0.64,0.57,0
0.8,0.48,1
0.82,0.335,1
0.73,0.349,1
0.72,0.308,0
0.7,0.735,1
0.81,0.641,1
0.74,0.484,1
0.86,0.286,1
0.83,0.482,1
0.78,0.503,1
0.69,0.407,1
0.62,0.629,0
0.64,0.391,0
0.83,0.483,1
0.81,0.529,1
0.77,0.361,1
0.86,0.737,1
0.85,0.543,1
0.68,0.562,0
0.78,0.343,1
0.57,0.013,0
0.41,0.309,0
0.88,0.67,1
0.79,0.396,1
0.73,0.141,0
0.75,0.457,1
0.76,0.525,1
0.82,0.146,1
0.66,0.036,0
0.81,0.159,0
0.73,0.324,1
0.7,0.432,1
0.78,0.461,1
0.87,0.536,1
0.73,0.352,1
0.81,0.505,1
0.62,0.228,1
0.71,0.386,0
0.59,0.308,0
0.83,0.693,1
0.72,0.527,0
0.76,0.274,1
0.78,0.587,0
0.83,0.407,1
0.79,0.44,1
0.86,0.44,1
0.88,0.186,0
0.77,0.56,1
0.73,0.256,0
0.65,0.517,1
0.7,0.064,0
0.83,0.493,1
0.81,0.379,1
0.62,0.47,1
0.74,0.621,1
0.56,0.55,1
0.78,0.335,1
0.78,0.72,1
0.94,0.497,1
0.85,0.396,1
0.73,0.055,1
0.8,0.382,1
0.79,0.706,1
0.78,0.383,1
0.51,0.552,0
0.68,0.431,0
0.64,0.584,1
0.78,0.322,0
0.67,0.649,0
0.74,0.452,0
0.86,0.501,1
0.89,0.681,1
0.93,0.684,1
0.68,0.88,0
0.87,0.542,1
0.61,0.193,0
0.86,0.39,1
0.75,0.463,1
0.85,0.264,1
0.76,0.436,1
0.72,0.507,0
0.88,0.484,1
0.44,0.418,0
0.74,0.558,1
0.78,0.19,1
0.68,0.243,0
0.8,0.125,0
0.77,0.487,1
0.76,0.677,1
0.74,0.088,0
0.89,0.238,1
0.74,0.495,1
0.62,0.319,1
0.91,0.485,1
0.69,0.146,0
0.78,0.428,1
0.81,0.379,1
0.75,0.503,0
0.68,0.548,1
0.68,0.671,1
0.88,0.617,1
0.72,0.479,0
0.63,0.468,1
0.62,0.597,1
0.8,0.425,1
0.73,0.223,1
0.69,0.654,1
0.83,0.487,1
0.73,0.375,1
0.82,0.403,1
0.8,0.336,1
0.84,0.544,1
0.68,0.645,1
0.84,0.511,1
0.55,0.515,1
0.75,0.258,1
0.83,0.431,1
0.68,0.329,1
0.76,0.358,1
0.8,0.277,1
0.68,0.492,1
0.76,0.387,0
0.69,0.57,0
0.43,0.175,1
0.82,0.369,1
0.78,0.479,1
0.77,0.527,1
0.85,0.433,1
0.62,0.046,0
0.92,0.293,1
0.79,0.362,1
0.91,0.532,1
0.77,0.376,1
0.64,0.258,0
0.55,0.418,0
0.74,0.398,1
0.79,0.428,1
0.75,0.428,1
0.84,0.361,1
0.84,0.495,1
0.9,0.25,1
0.8,0.725,0
0.83,0.293,1
0.79,0.245,1
0.97,0.533,1
0.93,0.547,1
0.81,0.203,1
0.87,0.489,1
0.79,0.458,1
0.84,0.535,1
0.77,0.431,1
0.81,0.471,0
0.81,0.509,0
0.65,0.341,1
0.79,0.308,1
0.83,0.236,1
0.75,0.524,0
0.57,0.385,0
0.78,0.478,1
0.94,0.306,1
0.76,0.848,0
0.7,0.354,0
0.81,0.203,1
0.64,0.291,0
0.91,0.417,1
0.93,0.3,1
0.9,0.811,0
0.74,0.799,0
0.61,0.6,1
0.65,0.312,0
0.6,0.676,0
0.64,0.328,0
0.61,0.486,0
0.77,0.458,1
0.63,0.408,0
0.83,0.493,1
0.78,0.49,1
0.6,0.414,0
0.61,0.718,0
0.86,0.217,1
0.68,0.508,1
0.92,0.303,1
0.83,0.63,1
0.73,0.245,0
0.8,0.372,1
0.81,0.561,1
0.83,0.323,1
0.53,0.283,0
0.89,0.676,1
0.93,0.517,1
0.57,0.429,0
0.77,0.717,1
0.43,0.549,0
0.67,0.309,0
0.87,0.549,1
0.77,0.654,1
0.76,0.406,1
0.82,0.35,1
0.86,0.745,1
0.91,0.711,1
0.6,0.503,0
0.83,0.288,0
0.86,0.159,0
0.51,0.676,1
0.73,0.345,1
0.87,0.313,0
0.73,0.12,0
0.48,0.312,0
0.82,0.377,1
0.63,0.472,0
0.73,0.54,0
0.65,0.394,0
0.69,0.4,0
0.54,0.433,1
0.78,0.468,1
0.65,0.467,0
0.64,0.376,1
0.67,0.183,0
0.87,0.297,1
0.85,0.677,1
0.88,0.605,1
0.8,0.633,0
0.81,0.746,1
0.72,0.598,0
0.76,0.565,0
0.85,0.628,1
0.75,0.575,1
0.8,0.638,1
0.91,0.526,1
0.78,0.687,1
0.82,0.547,0
0.8,0.566,1
0.74,0.39,1
0.85,0.626,1
0.82,0.674,1
