Metacritic_score,Median_playtime,Price,Positive_review_threshold
0.75,0.693,0.136,0
0.53,0.236,0.28,0
0.61,0.396,0.136,0
0.8,0.623,0.568,0
0.73,0.531,0.0,0
0.69,0.382,0.136,0
0.76,0.234,0.064,0
0.96,0.348,0.136,1
0.8,0.37,0.28,1
0.75,0.4,0.165,0
0.74,0.391,0.28,1
0.78,0.151,0.064,1
0.81,0.607,0.28,1
0.6,0.638,0.136,0
0.81,0.179,0.136,1
0.81,0.534,0.424,1
0.68,0.428,0.011,0
0.65,0.168,0.352,0
0.68,0.368,0.28,1
0.79,0.212,0.208,1
0.74,0.338,0.064,0
0.79,0.452,0.64,0
0.73,0.365,0.136,1
0.65,0.648,0.712,0
0.71,0.292,0.122,0
0.68,0.423,0.28,0
0.61,0.131,0.136,0
0.73,0.68,0.28,1
0.67,0.474,0.18,0
0.78,0.259,0.028,1
0.59,0.466,0.208,0
0.7,0.529,0.28,0
0.81,0.506,0.266,0
0.81,0.358,0.182,1
0.76,0.508,0.28,1
0.75,0.484,0.28,0
0.63,0.565,0.136,0
0.76,0.477,0.036,0
0.81,0.473,0.856,0
0.76,0.534,0.28,1
0.94,0.295,0.136,1
0.68,0.3,0.136,0
0.75,0.603,0.352,1
0.67,0.393,0.28,0
0.68,0.243,0.28,0
0.7,0.215,0.28,0
0.73,0.526,0.237,0
0.81,0.358,0.064,1
0.8,0.357,0.007,1
0.74,0.486,0.28,0
0.79,0.421,0.136,1
0.82,0.54,0.28,0
0.86,0.298,0.093,1
0.78,0.28,0.136,1
0.73,0.441,0.28,1
0.73,0.664,0.856,0
0.85,0.331,0.136,1
0.8,0.546,0.424,1
0.58,0.547,0.136,0
0.71,0.437,0.064,0
0.79,0.595,0.208,1
0.76,0.248,0.136,0
0.81,0.126,0.28,0
0.86,0.668,0.28,1
0.89,0.363,0.136,1
0.63,0.176,0.059,0
0.66,0.466,0.28,0
0.96,0.471,0.136,1
0.7,0.481,0.28,0
0.8,0.634,0.28,1
0.87,0.38,0.352,1
0.82,0.571,0.37,1
0.55,0.425,0.208,0
0.8,0.623,0.424,1
0.75,0.473,0.28,1
0.65,0.483,0.064,0
0.62,0.401,0.136,0
0.72,0.419,0.136,1
0.81,0.74,0.575,0
0.55,0.025,0.064,0
0.85,0.706,0.712,1
0.8,0.642,0.64,1
0.73,0.293,0.007,1
0.79,0.546,0.136,1
0.79,0.243,0.1,0
0.84,0.485,0.28,1
0.81,0.359,0.136,1
0.83,0.576,0.208,1
0.49,0.489,0.093,0
